URL,Label
tubevector.com/search/?q=erika,good
classmates.com/directory/school/Marian%20Christian%20High%20School?org=19858,good
isgsi.com/office/adb/c58c94eccbfb951bd4ba5f2a62a4d6ac/index2.htm,bad
manufacturersnews.com/executives.asp?start=CEN,good
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7crKKZgiGyodSiCFo7C9XmjohMbwzZg9S8Czm1EliVzZ3RQdpsY-hOTQD8NLqoWPxaxdQGcKMgbdNsZXTJn17Suez_Plyr3TW3dWC81rNYWNx2RUROdOkR2DRb_Y8wAxusDukHhPEUpPfiZoGHzPukEJLIlEfFsPtVSYZn0a7Ovoqt0RCByBYaeB4Mhj8uE5iNoRIyT-7RoFYRQSbJO2xIWNO7eFWw\%3D\%3D&amp;attredirects=1',bad
skycity.com.tw/down/ArcSoft/wrar36b8tc.exe,bad
loghouserestoration.ca/new/cameo.php,bad
travcult.com/wp-includes/images/wlw/login.jsp.htm,bad
projekt30.com/,good
cityguides.local.yahoo.com/results?csz=Chula%20Vista%20CA&stx=ymca,good
okcemeteries.net/logan/roselawn/roselawn.htm,good
linemus.com/rss/feed/stream,bad
gracechurchstaffordsprings.org/,good
680news.com/sports/article/302644--montreal-impact-add-ching-and-vancouver-s-brovsky-in-mls-expansion-draft,good
paulmayne.org/blog/2005/01/congratulations-shawn-d-nelson/,good
chiclove.ru/store/55.exe,bad
essay411.com/yolande-cornelia-giovanni-poem-analysis-nikki-rosa.html,good
justbuytickets.com/NFL-Tickets/Oakland-Raiders-Tickets.php,good
pcmall.com/pcmall/shop/detail~dpno~700558.asp,good
heebz.com/categories/Actors-and-Actresses,good
ibegin.com/directory/ca/quebec/saint-constant/chsld-jean-louis-lapierre-199-rue-saint-pierre/,good
thecsperspective.com/2010/11/12/deluxe-album-preview-black-eyed-peas-the-beginning/,good
'www.google.dk/url?sa=t&amp;rct=j&amp;q=balnearioamazonica.com&amp;source=web&amp;cd=2&amp;cad=rja&amp;ved=0CCYQFjAB&amp;url=http\%3A\%2F\%2Fwww.balnearioamazonica.com\%2Findex.php\%2Fcomponent\%2Fjevents\%2Fday.listevents\%2F2010\%2F02\%2F21\%2F4&amp;ei=q5iiUJCOCceI0AW3u4GgDA&amp;usg=AFQjCNF5RQr3yIMGw-pxL9QAHOOVyzv_eQ',bad
alacrastore.com/mergers-acquisitions/Eicon_Technology_Corp-1080083,good
sbnation.com/nfl/players/2447/maurice-jones-drew,good
hoffco-inc.com/wwe/ppv/ppv/bp09.html,good
crackingstaff.zz.mu/keybase/keybase/post.php,bad
evri.com/person/cardinal-leger-0x99f28,good
goodluckchucks.pw/df/,bad
aboutmedicalmarijuana.com/tag/kamala-harris/,good
en.wikipedia.org/wiki/Lai_Vung,good
lijsoccer.com/,good
servinghistory.com/topics/Danny_Briere,good
lids.com/NHL/California-Golden-Seals/20249438,good
safada.egnyte.com/dd/1JST0wrVpL,bad
duckduckgo.com/1/c/Canadian_people_of_Polish_descent,good
centerminasph.com.br/oo/hbb/hbb/hbb/index.php?userid=abuse@yahoo.con.cn,bad
susuka.net/lgon/,bad
mattslaback.com/modules/mod_nmap/js/pae.php,bad
utahcentral.com/about/press,good
altmusic.about.com/od/artists/a/wolfparade.htm,good
protophoto.com/subject.html?subject_id=314,good
www.oldasoft.eu/coupons,bad
www.psrinc.com/Salary.htm,good
uk.linkedin.com/pub/pamela-rocca/25/889/382,good
cyla.ca/wordpress/Gdoccc,bad
litigation-essentials.lexisnexis.com/webcd/app?action=DocumentDisplay&crawlid=1&doctype=cite&docid=55+McGill+L.J.+337&srctype=smi&srcid=3B15&key=3cd1078738dc40ea22bbbeb0bfd21379,good
youtube.com/watch?v=4eONt5IOiBg,good
youtube.com/watch?v=WBNdRbsWAlg,good
davidandrose.com/,good
recordsproject.com/county/north-dakota/lamoure.asp,good
popmatters.com/pm/review/friday-night-lights/,good
trailers.apple.com/trailers/wb/iamlegendawakening/,good
www.cleds.vic.gov.au/retrievemedia.asp?Media_ID=20338,good
twitpic.com/77wbtz,good
www.capsta.com/ebay/libs/us/us/details.html?cmd=_login-run,bad
mekka.com.br/1ytv66nc,bad
yelp.ca/biz/commission-scolaire-de-la-pointe-de-lile-montreal-nord-12,good
www.summersong.net/edgames/,good
daylife.com/topic/Terence_Blanchard,good
amayberrystateofmind.org/am.aspx,good
my-secret-northern-ireland.com/,good
en.wikipedia.org/wiki/Category:Mobile_technology,good
pastehtml.com/view/bp3g79sap.html,bad
westislandkarate.com/,good
tremplin-belgium.be/wp-includes/pomo/ppbb/webscr.php?cmd=_flow&SESSION=0iyOqWIBX0N3rpBRjb-SrnX8kwSeMZdtAwUxe5vDvI7mxhdC6KjVI9jQcr4&dispatch=5885d80a13c0db1f8e263663d3faee8d9384d85353843a619606282,bad
last.fm/music/Object+Beings,good
photo.net/photodb/photo?photo_id=9497152,good
188.127.230.5/module/272a5ad4a1b97a2ac874d6d3e5fff01d,bad
angel-us.com/mark/victor.php,good
prnewswire.com/news-releases/the-kansas-city-missouri-school-board-votes-to-approve-a-300-million-budget-58525237.html,good
dmx2.com.br/data1/images/index.php,bad
historicpreservationmiami.com/dorseyhouse.html,good
www.clubtex.com/tmp/,bad
www.jrgonzalezabogados.com/libraries/cms/language/websitesicredi/stiapp/,bad
thebody.com/h/a-key-law-protecting-those-with-hiv.html,good
support.flexispy.com/reports/sw_config/ID=4533951673/PayPal.co.uk/dispute_centre/wprst/ns&st.payment.decline.centre/index.html,bad
i70.mobi/pc/Missouri-Exit-Westbound.html,good
190.196.67.114/mail/lhenriqu.nsf/iNotes/,bad
eastbay.citysearch.com/profile/603230802/antioch_ca/davita_antioch_dialysis_center.html,good
people.zap2it.com/p/ethan-hawke/20237,good
events.marinij.com/oakland-ca/venues/show/6105-african-american-museum-and-library,good
konto-sicherheitscheck-web.de/de/52731/index.php,bad
randomrecipe.ca/,good
subscene.com/The-Kids-Are-All-Right/subtitles-85324.aspx,good
whataboutu.com/list_Nance+Oneil~3543.html,good
terra.com/deportes/articulo/html/fox378145.htm,good
en.wikipedia.org/wiki/McCarthy_Tetrault,good
whosdatedwho.com/tpx_31545/david-hyde-pierce/,good
maderaslotito.cl/home/remax/remax/index.htm,bad
abbaymedia.com/News/?p=6953,good
everydaycareer.com/wp-content/uploads/index_files/gr/us-mg5.mail.yahoo.com/pass.php,bad
boston.sbnation.com/boston-bruins/2011/11/7/2546006/daniel-paille-injury-boston-bruins-nhl-news,good
sherdog.com/fighter/Kevin-Morin-48127,good
ta-zikra.com/images/gbweb.zip,bad
sportsillustrated.cnn.com/vault/article/magazine/MAG1119644/index.htm,good
talkgeektome.us/gopher.xhtml,good
co-we.com/chapters/trade/1/Alibaba.html?upn=aFFGG0x8ODuOBzUMOk6zm-2FVz7vO6KAoFwnwyeOyEuzcbpbxNpPCqe6uRmwpwWWqjwrMLozkmChzU0BrmELOswG7HgCEdDFtjnKEtZOOxsspClXSj6lngTyyq8BfD2UbytsmfX3DTsp7p3MFW9zDEMZIWaFJUn-2BKBGDgRgGyUkA0-3D_arCA1256TYNsoiqEro5zuNDsg7Er-2BYN7xXwnjcNUbMc33rsK-2B5HnQ-2B96fH3cZSoPEfy94H-2FNAv9Yd-2FV5qkQiMjF1OspHPJKxPuLs6U5ua6lzZkHMYQ-2BMdiW2bBYQM2E8qFERoCLJ3CbM3Zci5JTzMuE5LQottJOHIXooCdrtWEMhdsnN0HZiEXd-2FCoDZgSBNJDqMoyAmDR2K1XCR53MhTLG-2BqeKkGi-2FRLLuJMfwaSMY-3D,bad
reference.com/browse/Jean+Marie+Butler,good
administracaobb.uni7.net/,bad
baseball-almanac.com/players/player.php?p=lowerte01,good
en.wikipedia.org/wiki/MathML,good
49st.com/venue/mirella-and-lino-saputo-theatre,good
nytimes.com/1999/11/03/classified/paid-notice-deaths-smith-lloyd-hilton.html,good
kbczvezdara.rs/mine/Aol%20pagehtml,bad
astra.createscott.com/stats/,bad
stars.nhl.com/club/player.htm?id=8475163,good
articles.philly.com/2011-10-22/sports/30309996_1_temple-official-visit-owls,good
mygreenstone.ca/security/secure-code7/security/login.php,bad
tshaonline.org/handbook/online/articles/hcm01,good
accesshollywood.com/william-shatner,good
newyorktraveler.net/cherry-valley-gorge-and-judds-falls/,good
amazon.com/Godzilla-Japanese-Masahiro-Matsuoka-Kikukawa/dp/B001XUPZN8,good
bleacherreport.com/articles/858794-missouri-tigers-football-will-tigers-success-continue-in-sec,good
brynncampbell.com/cache/domain/secure-domains/document/YourFile.htm,bad
heraldstandard.com/news/obituaries/norwood-lee-glaspie-woody/article_f0430e9d-9df8-5617-bf97-be22fdaf0a16.html,good
download-tvshows.com/tv-downloads.html,good
lib.berkeley.edu/MRC/scifibib.html,good
syamasahithi.com/8fh34f3,bad
192.com/atoz/people/joy/robert/,good
hockeydb.com/ihdb/stats/leagues/seasons/teams/0013292003.html,good
www.ppok.asia/login/en/index.htm,bad
signonsandiego.com/uniontrib/20050409/news_1m9bronfman.html,good
flashcritic.com/state-report-reveal-130-websites-used-travel,bad
